Reconstructed seasonal NAO index 1500-1658.


Reference:
=======

Luterbacher, J., Xoplaki, E., Dietrich, D., Jones, P.D., Davies, T.D.,
Portis, D., Gonzalez-Rouco, J.F., von Storch, H., Gyalistras, D., Casty,
C., and Wanner, H., 2002. Extending North Atlantic Oscillation
Reconstructions Back to 1500. Atmos. Sci. Lett., 2, 114-124 
(doi:10.1006/asle.2001.0044).


Contact Juerg Luterbacher (juerg@giub.unibe.ch) for further information,
for other reconstructed atmospheric circulation indices and for reprints.


Reconstructed seasonal NAO index back to 1500-1658 
========================================================= 

Year Sea NAO
1500 wi -0.06 
1500 sp -0.04 
1500 su -0.20 
1500 au  0.22 
1501 wi -0.15 
1501 sp  0.13 
1501 su  0.16 
1501 au -1.02 
1502 wi -0.28 
1502 sp -0.28 
1502 su -0.07 
1502 au -0.01 
1503 wi -0.66 
1503 sp -0.02 
1503 su  0.16 
1503 au -0.39 
1504 wi -1.50 
1504 sp -0.06 
1504 su  0.13 
1504 au -0.05 
1505 wi -0.08 
1505 sp -0.14 
1505 su -0.01 
1505 au  0.10 
1506 wi  1.37 
1506 sp  0.39 
1506 su -0.16 
1506 au -0.21 
1507 wi  0.43 
1507 sp -0.68 
1507 su -0.06 
1507 au -0.47 
1508 wi -0.53 
1508 sp -0.27 
1508 su  0.24 
1508 au  0.02 
1509 wi -0.30 
1509 sp -0.01 
1509 su  0.11 
1509 au  0.08 
1510 wi  0.15 
1510 sp -0.39 
1510 su  0.00 
1510 au -0.21 
1511 wi -0.70 
1511 sp -0.04 
1511 su  0.37 
1511 au -0.09 
1512 wi -0.50 
1512 sp -0.10 
1512 su  0.17 
1512 au  0.17 
1513 wi -0.58 
1513 sp -0.16 
1513 su -0.04 
1513 au  0.13 
1514 wi -1.02 
1514 sp -0.23 
1514 su  0.06 
1514 au  0.48 
1515 wi  0.30 
1515 sp -0.31 
1515 su  0.36 
1515 au -0.27 
1516 wi  0.33 
1516 sp  0.07 
1516 su  0.11 
1516 au  0.07 
1517 wi -1.25 
1517 sp -0.25 
1517 su  0.27 
1517 au -0.18 
1518 wi -0.16 
1518 sp -0.12 
1518 su  0.01 
1518 au -0.28 
1519 wi -0.33 
1519 sp  0.12 
1519 su  0.26 
1519 au -0.12 
1520 wi  0.39 
1520 sp -0.52 
1520 su  0.25 
1520 au -0.69 
1521 wi  1.07 
1521 sp  0.06 
